,Year_Birth,Education,Marital_Status,Complain,NumWebVisitsMonth,YearRange,HaveChild,AcceptedCmp,Income,Kidhome,Teenhome,Dt_Customer,Recency,TotalChild,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,MntGroceryProducts,TotalPurchase
1566,1960,Master,Married,0,7,1960,1,0,17144.0,1,1,15-02-2014,96,2,18,2,19,0,2,6,5,3,0,4,21,12
210,1954,Master,Divorced,0,7,1950,1,0,44551.0,0,1,31-08-2013,24,1,182,4,33,0,0,66,2,4,1,5,37,12
1275,1985,2n Cycle,Married,0,7,1980,0,0,23148.0,0,0,18-02-2014,83,0,4,6,8,6,3,10,1,2,0,3,20,6
1704,1954,Graduation,Divorced,0,5,1950,1,0,70044.0,0,1,18-02-2013,46,1,1073,0,250,153,14,14,4,7,10,5,403,26
1498,1987,PhD,Single,0,3,1980,0,3,74004.0,0,0,24-02-2014,5,0,784,48,560,42,176,48,1,4,6,4,650,15
442,1980,2n Cycle,Married,0,3,1980,1,0,70829.0,1,1,01-12-2013,87,2,141,70,106,72,19,23,2,4,2,8,248,16
1122,1956,Graduation,Married,0,8,1950,1,0,54450.0,1,1,14-09-2012,0,2,454,0,171,8,19,32,12,9,2,8,179,31
840,1966,Graduation,Married,0,8,1960,1,0,37758.0,1,1,04-10-2012,49,2,27,2,10,0,0,1,2,1,0,3,12,6
1266,1973,2n Cycle,Married,0,5,1970,1,0,43050.0,1,0,18-03-2014,10,1,30,5,24,6,3,8,2,2,0,4,35,8
788,1971,Master,Married,0,2,1970,1,0,56850.0,0,1,23-03-2014,83,1,34,1,19,2,7,0,1,1,1,3,22,6
2,1965,Graduation,Married,0,4,1960,0,0,71613.0,0,0,21-08-2013,26,0,426,49,127,111,21,42,1,8,2,10,287,21
1332,1968,Graduation,Married,0,7,1960,1,0,58554.0,1,1,26-09-2012,55,2,368,24,68,38,0,88,6,8,2,6,130,22
1697,1961,Master,Married,0,5,1960,1,0,74881.0,1,1,08-03-2013,48,2,505,72,270,36,27,54,4,9,2,12,378,27
489,1950,Graduation,Married,0,8,1950,1,0,27203.0,1,1,06-08-2012,92,2,13,2,21,4,0,24,2,1,1,2,27,6
1318,1959,2n Cycle,Married,0,6,1950,1,0,26887.0,0,1,10-02-2013,27,1,6,7,4,3,4,6,1,1,0,3,14,5
427,1971,PhD,Married,0,7,1970,1,0,32011.0,1,0,22-08-2013,89,1,99,0,15,2,1,5,3,2,1,4,17,10
1229,1970,PhD,Married,0,7,1970,1,1,55158.0,1,1,30-07-2012,72,2,293,0,87,4,11,23,4,7,2,5,91,18
483,1944,PhD,Divorced,0,7,1940,0,1,55614.0,0,0,27-11-2013,85,0,504,13,131,8,0,26,1,9,4,6,152,20
1142,1968,Graduation,Married,0,8,1960,1,0,35322.0,1,2,22-08-2012,34,3,28,9,37,12,7,13,3,2,0,4,58,9
211,1980,Graduation,Married,0,6,1980,1,0,69508.0,1,0,14-11-2012,48,1,824,32,162,42,32,43,2,11,4,11,236,28
1052,1981,PhD,Married,0,2,1980,0,2,87171.0,0,0,01-05-2013,27,0,1001,44,107,58,44,44,1,6,7,11,209,25
1237,1960,Graduation,Married,0,8,1960,1,0,31454.0,1,1,06-07-2013,40,2,28,0,11,0,0,9,3,2,0,3,11,8
1517,1963,Graduation,Single,0,8,1960,0,1,30983.0,0,0,09-11-2012,50,0,51,4,50,12,1,49,1,4,0,3,66,8
1302,1979,Graduation,Married,0,7,1970,1,0,27244.0,1,0,07-03-2014,84,1,6,5,17,3,24,46,2,2,2,2,25,8
581,1965,Master,Single,0,1,1960,0,0,69882.0,0,0,10-11-2013,94,0,292,127,635,132,127,165,1,3,7,9,894,20
989,1978,Graduation,Single,0,9,1970,1,0,30168.0,1,0,07-03-2013,51,1,154,20,66,0,12,27,7,6,1,4,86,18
1711,1945,PhD,Single,0,8,1940,0,1,45576.0,0,0,28-05-2014,9,0,56,19,29,2,14,25,1,3,1,3,50,8
620,1960,2n Cycle,Single,0,7,1960,0,2,32218.0,0,0,15-02-2014,27,0,10,24,15,13,1,30,1,2,1,3,52,7
518,1960,PhD,Married,0,6,1960,1,0,49154.0,1,1,03-11-2013,69,2,206,10,67,30,27,71,6,4,1,8,107,19
1679,1986,Graduation,Married,0,1,1980,0,5,83512.0,0,0,17-06-2014,31,0,1060,61,835,80,20,101,1,4,7,10,976,22
96,1960,2n Cycle,Single,0,8,1960,1,0,47823.0,0,1,23-07-2013,0,1,53,1,5,2,1,10,2,2,0,3,8,7
459,1975,Graduation,Married,0,4,1970,1,0,61456.0,0,1,27-03-2013,47,1,563,76,384,84,192,89,4,6,10,13,544,33
178,1961,Basic,Married,0,6,1960,0,0,28249.0,0,0,15-06-2014,80,0,1,9,7,2,14,10,1,2,0,3,18,6
108,1963,Master,Married,0,6,1960,1,1,57288.0,0,1,25-06-2014,27,1,527,0,21,0,0,60,3,8,1,8,21,20
458,1971,PhD,Married,0,7,1970,1,0,49269.0,1,0,15-08-2012,92,1,639,8,166,11,8,58,3,7,3,12,185,25
1186,1955,Graduation,Married,1,1,1950,1,0,65748.0,0,1,15-04-2013,58,1,172,73,93,95,78,34,2,2,4,10,261,18
1326,1982,Graduation,Married,0,4,1980,0,2,69109.0,0,0,09-11-2012,10,0,823,25,459,124,29,95,1,6,6,7,608,20
570,1951,Graduation,Married,0,8,1950,1,0,40689.0,0,1,18-03-2013,69,1,270,3,27,39,6,99,7,7,1,5,69,20
775,1978,Graduation,Married,0,4,1970,1,0,51267.0,1,1,29-10-2013,37,2,183,2,64,7,2,12,4,3,3,5,73,15
1,1954,Graduation,Single,0,5,1950,1,0,46344.0,1,1,08-03-2014,38,2,11,1,6,2,1,6,2,1,1,2,9,6
943,1975,PhD,Married,0,6,1970,1,0,40233.0,0,1,14-10-2013,84,1,80,4,46,0,17,2,5,2,1,5,50,13
440,1969,Graduation,Married,0,7,1960,1,0,56796.0,0,1,16-02-2013,24,1,656,38,161,62,47,37,3,8,9,7,261,27
1507,1959,PhD,Divorced,0,1,1950,0,1,67786.0,0,0,07-12-2013,0,0,431,82,441,80,20,102,1,3,6,6,603,16
568,1956,Master,Married,0,7,1950,1,0,54603.0,1,1,09-07-2013,85,2,145,13,46,17,2,4,6,4,2,4,76,16
48,1977,Graduation,Single,0,7,1970,1,0,35790.0,1,0,02-01-2013,54,1,12,6,20,30,1,3,2,2,0,3,56,7
670,1972,PhD,Single,0,2,1970,0,1,86857.0,0,0,12-09-2012,96,0,899,102,838,133,102,40,1,5,6,10,1073,22
971,1989,Graduation,Single,0,4,1980,1,0,64449.0,1,0,18-02-2014,70,1,218,63,282,137,35,70,4,5,3,12,482,24
831,1980,Graduation,Married,0,5,1980,1,0,15072.0,2,0,10-05-2013,96,2,8,2,15,0,10,18,4,3,1,3,17,11
985,1968,Graduation,Married,0,8,1960,1,1,19514.0,1,1,26-01-2014,47,2,14,3,21,2,1,28,4,3,1,2,26,10
1394,1966,Graduation,Single,0,8,1960,1,1,63810.0,0,1,11-11-2012,45,1,977,12,253,16,12,101,4,4,3,12,281,23
938,1973,Graduation,Married,0,5,1970,1,0,59041.0,1,1,07-05-2014,25,2,69,2,15,2,2,6,2,2,0,4,19,8
722,1969,Graduation,Married,0,4,1960,1,0,62882.0,0,1,09-08-2012,26,1,509,133,497,78,24,97,2,7,5,6,708,20
1665,1971,2n Cycle,Married,0,7,1970,1,0,42033.0,1,1,19-09-2012,95,2,11,1,4,2,0,7,1,1,0,2,7,4
529,1977,2n Cycle,Married,0,8,1970,1,0,25315.0,1,0,07-11-2013,46,1,1,9,8,11,3,22,3,3,0,3,28,9
1288,1962,PhD,Single,0,9,1960,1,0,27238.0,1,1,20-04-2013,39,2,37,0,17,0,0,3,3,3,0,3,17,9
895,1954,Graduation,Married,0,1,1950,0,0,62820.0,0,0,11-05-2013,51,0,398,61,265,138,61,53,1,3,4,6,464,14
231,1968,Graduation,Divorced,0,3,1960,0,1,73455.0,0,0,28-10-2013,98,0,901,61,757,186,163,20,1,6,5,10,1004,22
783,1956,Graduation,Divorced,0,5,1950,1,0,46984.0,1,1,26-03-2013,71,2,19,1,10,2,1,8,1,1,0,3,13,5
1341,1958,Graduation,Married,0,2,1950,1,0,67267.0,0,1,13-05-2014,0,1,134,11,59,15,2,30,1,3,2,5,85,11
1140,1972,Graduation,Married,0,4,1970,1,0,62710.0,0,1,23-05-2013,53,1,441,35,83,7,29,11,4,4,2,12,125,22
432,1989,Graduation,Single,0,8,1980,1,0,30279.0,1,0,30-12-2012,13,1,10,4,14,4,4,1,1,1,0,3,22,5
77,1969,Graduation,Married,0,7,1960,1,0,26304.0,1,0,23-06-2013,5,1,4,1,5,2,0,4,1,1,0,2,8,4
1069,1972,PhD,Single,0,8,1970,1,0,38578.0,1,1,22-06-2013,2,2,38,4,22,3,3,3,3,3,0,3,29,9
215,1980,PhD,Married,0,8,1980,1,0,30732.0,1,0,05-01-2013,44,1,155,1,25,0,1,3,4,4,1,4,26,13
558,1970,Graduation,Married,0,7,1970,1,0,38200.0,1,1,07-12-2012,19,2,12,0,4,0,0,1,1,1,0,2,4,4
1713,1969,PhD,Divorced,0,8,1960,1,0,58086.0,0,1,20-01-2013,80,1,708,7,62,0,0,15,2,11,3,7,69,23
553,1963,PhD,Divorced,0,3,1960,1,0,48799.0,0,1,05-11-2013,9,1,174,18,81,28,6,24,3,3,2,7,127,15
354,1969,Graduation,Single,0,4,1960,1,0,54803.0,0,1,21-08-2012,65,1,404,0,92,28,27,142,2,6,2,9,120,19
55,1968,PhD,Married,0,7,1960,1,0,55954.0,0,1,03-03-2014,63,1,447,0,28,0,0,43,3,8,2,6,28,19
1660,1987,Master,Divorced,0,5,1980,0,0,61787.0,0,0,06-07-2013,71,0,621,73,414,78,48,85,1,8,4,6,565,19
706,1965,Graduation,Married,0,3,1960,0,0,72190.0,0,0,13-02-2013,79,0,597,166,597,172,166,249,1,5,6,4,935,16
1205,1971,Graduation,Divorced,0,8,1970,1,0,44421.0,1,1,15-02-2013,53,2,110,5,59,7,1,7,5,5,0,4,71,14
982,1954,Graduation,Single,0,4,1950,1,2,36130.0,0,1,02-02-2013,46,1,157,43,127,68,56,37,6,3,8,4,238,21
279,1949,Master,Divorced,0,8,1940,0,0,35416.0,0,0,13-06-2013,62,0,248,3,81,4,3,51,3,7,1,5,88,16
1515,1986,Master,Married,0,8,1980,1,0,42386.0,1,0,13-01-2013,43,1,65,4,16,0,4,11,1,3,0,3,20,7
1579,1964,PhD,Married,0,2,1960,1,0,65526.0,0,1,11-04-2014,22,1,397,19,69,12,0,9,1,4,4,8,100,17
224,1971,Graduation,Married,0,8,1970,1,0,38590.0,1,0,15-05-2013,65,1,3,1,8,4,3,3,1,1,0,2,13,4
302,1989,Graduation,Married,0,3,1980,0,2,51222.5,0,0,03-06-2013,69,0,861,138,461,60,30,61,1,6,5,12,659,24
1412,1952,Graduation,Married,0,8,1950,1,0,33402.0,1,1,18-07-2013,60,2,26,2,19,10,5,8,3,2,1,3,31,9
218,1976,Graduation,Married,0,8,1970,1,0,51369.0,0,1,25-10-2012,84,1,297,7,79,0,11,182,2,8,2,4,86,16
436,1964,Graduation,Single,0,1,1960,0,2,81246.0,0,0,29-12-2013,87,0,398,190,537,61,156,37,1,4,5,7,788,17
883,1970,Graduation,Divorced,0,6,1970,1,0,54137.0,0,1,16-08-2013,46,1,171,0,11,0,1,20,2,4,1,4,11,11
987,1979,Graduation,Married,0,5,1970,1,3,77568.0,0,1,25-08-2012,30,1,1230,0,396,232,178,158,1,10,2,8,628,21
530,1969,Graduation,Divorced,0,7,1960,1,0,43638.0,0,1,06-08-2012,37,1,63,10,83,7,19,19,2,4,1,4,100,11
891,1966,PhD,Single,0,1,1960,0,0,78420.0,0,0,29-06-2013,75,0,604,28,674,91,28,28,1,3,10,8,793,22
1213,1989,Graduation,Married,0,8,1980,1,0,28691.0,1,0,04-07-2013,56,1,5,4,13,8,0,4,1,1,0,3,25,5
372,1973,2n Cycle,Married,0,8,1970,1,0,35688.0,2,1,22-08-2012,94,3,73,3,90,12,1,32,7,4,1,4,105,16
295,1961,Master,Married,0,2,1960,0,1,80950.0,0,0,28-03-2013,44,0,525,147,112,219,147,63,1,6,7,9,478,23
364,1975,Master,Single,0,8,1970,1,0,46098.0,1,1,18-08-2012,86,2,57,0,27,0,0,36,4,3,2,2,27,11
1444,1966,Graduation,Single,0,5,1960,1,0,34704.0,0,1,27-04-2013,65,1,29,0,5,0,1,5,1,1,0,3,5,5
828,1991,2n Cycle,Single,0,3,1990,0,0,61618.0,0,0,29-09-2012,27,0,605,91,399,0,45,205,2,3,6,8,490,19
1729,1964,2n Cycle,Married,0,4,1960,1,0,62905.0,0,1,10-09-2013,68,1,166,75,96,119,107,59,3,7,2,8,290,20
621,1973,Graduation,Single,0,3,1970,0,1,83917.0,0,0,18-04-2013,12,0,514,22,732,42,198,79,1,6,7,7,796,21
402,1987,Graduation,Single,0,7,1980,1,0,46923.0,1,0,22-08-2012,90,1,85,44,54,102,78,6,3,5,1,7,200,16
1305,1948,Graduation,Single,0,1,1940,0,0,90842.0,0,0,29-07-2013,57,0,774,70,118,182,187,93,1,4,9,13,370,27
485,1978,Graduation,Divorced,0,3,1970,1,0,55563.0,0,1,05-04-2014,22,1,29,1,9,2,0,2,1,2,0,3,12,6
906,1978,Graduation,Married,0,2,1970,0,1,77583.0,0,0,10-02-2014,93,0,372,23,384,250,12,108,1,4,5,9,657,19
487,1949,PhD,Married,0,3,1940,1,0,67911.0,0,1,22-05-2014,63,1,529,0,356,63,28,0,3,6,7,11,419,27
333,1973,Basic,Married,0,8,1970,1,2,27190.0,1,0,15-08-2013,13,1,1,6,7,0,1,3,1,1,0,2,13,4
582,1977,Graduation,Married,0,4,1970,1,0,33178.0,1,0,30-01-2014,9,1,12,6,2,11,2,16,1,1,0,3,19,5
1025,1966,Graduation,Married,0,5,1960,1,1,44529.0,0,1,05-07-2013,98,1,538,13,91,17,6,26,6,6,2,11,121,25
399,1982,2n Cycle,Single,0,8,1980,1,1,23616.0,1,0,17-11-2012,76,1,4,22,11,3,7,32,2,3,0,3,36,8
1101,1966,Graduation,Single,0,8,1960,1,0,86358.0,1,1,08-08-2012,78,2,957,47,494,82,47,95,4,5,3,6,623,18
1174,1961,2n Cycle,Divorced,0,5,1960,1,0,59184.0,0,1,09-09-2012,6,1,341,142,113,259,151,66,3,6,6,12,514,27
733,1972,PhD,Married,0,2,1970,0,0,83443.0,0,0,31-12-2013,89,0,518,42,742,55,56,84,1,6,10,5,839,22
879,1958,Graduation,Divorced,0,4,1950,1,0,78331.0,0,1,23-01-2014,97,1,756,138,354,160,169,61,2,10,6,7,652,25
1492,1971,Graduation,Married,0,3,1970,0,0,69930.0,0,0,26-05-2013,21,0,252,98,827,219,70,196,1,4,5,12,1144,22
576,1961,Master,Married,0,2,1960,1,0,61794.0,0,1,14-09-2013,74,1,264,47,188,54,47,11,2,4,4,10,289,20
579,1984,PhD,Single,1,7,1980,1,1,39684.0,1,0,12-10-2012,41,1,19,0,35,6,4,17,2,2,1,2,41,7
1603,1978,Graduation,Married,0,8,1970,1,0,22775.0,1,0,19-06-2013,40,1,5,1,8,0,0,1,1,1,0,2,9,4
554,1950,PhD,Married,0,4,1950,1,0,52157.0,0,1,07-06-2014,48,1,189,2,29,3,2,40,2,3,2,5,34,12
1354,1958,Graduation,Married,0,5,1950,1,0,51222.5,1,1,03-09-2012,87,2,19,4,12,2,2,6,1,1,0,3,18,5
649,1959,Graduation,Married,0,8,1950,0,0,18690.0,0,0,28-12-2012,77,0,6,1,7,23,4,19,1,1,1,2,31,5
878,1956,Graduation,Married,0,5,1950,1,1,64090.0,0,1,07-08-2013,8,1,316,58,161,76,51,135,1,6,9,4,295,20
957,1952,Graduation,Married,0,4,1950,1,0,35704.0,1,1,03-01-2014,54,2,30,9,12,2,11,30,3,2,0,4,23,9
362,1966,Graduation,Single,0,8,1960,1,1,63810.0,0,1,11-11-2012,45,1,977,12,253,16,12,101,4,4,3,12,281,23
42,1976,Graduation,Single,0,1,1970,0,0,79941.0,0,0,28-06-2014,72,0,123,164,266,227,30,174,1,2,4,9,657,16
1274,1953,Graduation,Married,0,2,1950,0,4,94384.0,0,0,04-03-2013,62,0,1111,24,790,160,45,172,0,5,8,5,974,18
1212,1972,Graduation,Married,0,2,1970,0,3,84906.0,0,0,04-10-2013,98,0,997,15,414,99,30,76,1,5,6,12,528,24
1442,1970,2n Cycle,Married,0,6,1970,1,0,23162.0,1,1,21-12-2013,82,2,8,3,9,19,4,22,3,1,1,3,31,8
1282,1972,Graduation,Married,0,6,1970,1,0,59868.0,0,1,22-07-2013,37,1,771,51,154,54,10,154,7,11,2,12,259,32
1591,1971,Graduation,Married,0,8,1970,1,0,18793.0,1,0,12-01-2013,14,1,4,16,20,0,17,20,3,2,0,4,36,9
575,1955,Graduation,Divorced,0,3,1950,0,4,79800.0,0,0,23-09-2012,65,0,1060,21,530,32,0,224,1,5,11,5,583,22
1103,1985,Basic,Single,0,4,1980,0,0,16581.0,0,0,12-01-2013,51,0,1,3,4,2,3,11,1,0,0,3,9,4
1294,1958,Master,Married,0,6,1950,1,0,46692.0,0,1,06-06-2013,37,1,170,6,97,24,12,88,3,6,1,5,127,15
924,1986,Basic,Single,0,7,1980,0,0,14906.0,0,0,22-12-2012,86,0,7,7,14,7,16,15,3,2,1,3,28,9
309,1970,Graduation,Single,0,7,1970,1,2,51222.5,1,2,23-08-2013,67,3,738,20,172,52,50,20,6,2,3,10,244,21
1178,1979,Graduation,Divorced,0,7,1970,1,2,15287.0,1,0,10-10-2012,60,1,1,2,8,4,3,13,2,1,1,2,14,6
532,1982,PhD,Married,0,3,1980,0,3,84169.0,0,0,07-08-2013,9,0,1478,19,403,0,19,0,1,7,6,6,422,20
1577,1990,2n Cycle,Single,0,9,1990,1,1,51250.0,1,0,30-03-2013,28,1,342,32,230,34,32,40,5,10,5,4,296,24
609,1949,Graduation,Divorced,0,1,1940,0,2,72298.0,0,0,10-03-2014,52,0,625,35,169,58,17,35,1,4,3,6,262,14
884,1967,Graduation,Married,0,2,1960,0,0,66825.0,0,0,14-07-2013,73,0,243,101,405,29,40,40,1,4,5,6,535,16
731,1970,Graduation,Single,0,7,1970,1,1,33697.0,1,0,15-09-2013,34,1,4,3,7,0,3,11,1,1,0,2,10,4
674,1970,Graduation,Single,0,2,1970,0,0,61209.0,0,0,25-08-2013,73,0,466,0,224,119,49,99,1,5,3,4,343,13
597,1965,Graduation,Married,0,3,1960,0,1,81168.0,0,0,07-05-2014,84,0,410,0,592,147,22,22,1,6,4,7,739,18
420,1989,Graduation,Married,0,8,1980,1,0,42387.0,1,0,29-10-2012,42,1,235,0,235,19,4,191,5,8,1,7,254,21
723,1953,PhD,Single,0,5,1950,1,0,64108.0,0,1,23-03-2013,8,1,948,10,86,13,21,21,4,6,9,11,109,30
1497,1958,Graduation,Married,0,7,1950,1,0,28087.0,1,1,11-12-2012,77,2,53,8,17,13,0,21,3,2,2,2,38,9
140,1976,Graduation,Married,0,8,1970,1,0,59809.0,0,2,18-10-2012,36,2,598,16,141,32,41,49,3,3,3,6,189,15
995,1973,Graduation,Married,0,8,1970,1,0,32300.0,1,0,03-01-2013,1,1,13,3,6,6,5,6,1,1,0,3,15,5
858,1971,Master,Divorced,0,6,1970,1,0,42835.0,1,1,30-06-2013,64,2,379,4,93,12,9,98,7,6,6,4,109,23
811,1984,Graduation,Married,0,6,1980,1,0,16529.0,1,0,01-03-2014,23,1,3,0,5,13,0,1,1,1,0,3,18,5
1363,1973,Graduation,Married,0,4,1970,1,0,22682.0,1,0,03-10-2013,51,1,10,14,29,4,2,36,3,2,1,4,47,10
1514,1964,Graduation,Divorced,0,7,1960,1,0,51983.0,0,1,31-08-2012,95,1,631,0,115,10,7,30,3,9,2,10,125,24
564,1977,PhD,Married,0,5,1970,1,4,61996.0,0,1,31-01-2013,27,1,1050,12,144,0,0,24,3,6,4,8,156,21
258,1970,Graduation,Married,0,1,1970,0,0,72940.0,0,0,19-06-2013,13,0,182,74,298,162,149,116,1,3,3,6,534,13
936,1965,Graduation,Married,0,5,1960,1,1,59754.0,0,1,01-12-2012,96,1,115,27,44,4,146,139,3,5,2,6,75,16
743,1981,2n Cycle,Married,0,7,1980,1,0,35523.0,1,0,03-10-2013,8,1,11,5,22,12,5,11,2,3,0,3,39,8
1277,1979,Graduation,Married,0,3,1970,0,1,71626.0,0,0,01-11-2012,94,0,546,72,376,94,145,72,1,5,5,8,542,19
114,1967,2n Cycle,Married,0,5,1960,1,0,30753.0,1,1,11-07-2013,85,2,12,5,25,0,9,30,2,1,1,3,30,7
241,1975,Master,Single,0,8,1970,1,0,31160.0,1,0,16-09-2013,59,1,16,3,25,6,1,13,2,2,0,3,34,7
896,1960,Master,Married,0,2,1960,0,0,73113.0,0,0,26-12-2013,86,0,741,19,154,50,9,28,1,3,4,7,223,15
