,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,MntGroceryProducts,TotalPurchase,YearRange,TotalChild,HaveChild
39,1975,Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,14,8,1970,1,1
40,1976,Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,657,16,1970,0,0
41,1996,2n Cycle,Married,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,47,10,1990,0,0
42,1954,PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,417,28,1950,2,1
43,1957,Graduation,Divorced,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,181,17,1950,1,1
44,1964,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,844,29,1960,0,0
45,1977,Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,56,7,1970,1,1
46,1977,Graduation,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,826,21,1970,0,0
47,1978,Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,145,23,1970,2,1
48,1955,Master,Married,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,663,27,1950,0,0
49,1966,Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,638,21,1960,0,0
50,1988,Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,10,6,1980,1,1
51,1968,PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,28,19,1960,1,1
52,1982,Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,633,21,1980,0,0
53,1975,Graduation,Married,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,136,22,1970,2,1
54,1952,Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,178,24,1950,1,1
55,1951,PhD,Divorced,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,48,19,1950,1,1
56,1948,Graduation,Married,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,526,16,1940,0,0
57,1971,Graduation,Married,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,12,5,1970,1,1
58,1967,Graduation,Married,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,1,4,1960,2,1
59,1979,2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,524,32,1970,1,1
60,1958,Graduation,Married,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,215,18,1950,1,1
61,1970,Graduation,Married,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,604,19,1970,3,1
62,1954,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,685,21,1950,0,0
63,1959,Graduation,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,482,30,1950,1,1
64,1975,PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,71,24,1970,2,1
65,1952,Graduation,Married,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,27,8,1950,0,0
66,1977,Graduation,Divorced,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,9,4,1970,1,1
67,1972,Master,Married,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,1133,19,1970,0,0
68,1976,Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1021,22,1970,0,0
69,1976,2n Cycle,Married,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,5,4,1970,0,0
70,1965,Graduation,Married,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,64,21,1960,0,0
71,1985,Graduation,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,79,12,1980,1,1
72,1969,Graduation,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,8,4,1960,1,1
73,1973,2n Cycle,Married,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,31,9,1970,1,1
74,1963,Master,Married,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,95,11,1960,0,0
75,1987,Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,474,27,1980,0,0
76,1960,Graduation,Married,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,32,7,1960,2,1
77,1970,Master,Married,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,16,13,1970,2,1
78,1957,Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,43,17,1950,1,1
79,1973,Graduation,Married,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,738,19,1970,0,0
80,1967,Graduation,Married,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,52,10,1960,1,1
81,1972,Master,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,12,5,1970,1,1
82,1970,PhD,Married,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,16,10,1970,1,1
83,1983,Graduation,Married,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,26,6,1980,1,1
84,1960,Graduation,Divorced,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,26,22,1960,1,1
85,1972,Graduation,Divorced,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,9,7,1970,2,1
86,1951,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,548,25,1950,0,0
87,1983,PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,203,16,1980,0,0
88,1960,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,8,7,1960,1,1
89,1959,PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,9,7,1950,1,1
90,1979,Graduation,Married,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,540,27,1970,1,1
91,1945,PhD,Married,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,437,16,1940,0,0
92,1959,Graduation,Married,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,816,20,1950,0,0
93,1979,Basic,Married,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,19,5,1970,1,1
94,1964,Graduation,Married,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,35,13,1960,2,1
95,1969,Graduation,Married,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,452,26,1960,2,1
96,1978,Graduation,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,38,9,1970,1,1
97,1960,Master,Married,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,331,14,1960,0,0
98,1979,Graduation,Married,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,430,24,1970,1,1
99,1991,PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,351,17,1990,0,0
100,1963,Master,Married,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,21,20,1960,1,1
101,1991,Graduation,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,198,25,1990,0,0
102,1980,PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,101,21,1980,1,1
103,1962,Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,22,8,1960,2,1
104,1970,Graduation,Married,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,1062,15,1970,0,0
105,1978,2n Cycle,Married,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,307,20,1970,1,1
106,1967,2n Cycle,Married,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,30,7,1960,2,1
107,1969,Graduation,Married,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,24,7,1960,1,1
108,1953,Master,Married,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,220,22,1950,1,1
109,1967,Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,32,9,1960,1,1
110,1985,Master,Married,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,10,6,1980,2,1
111,1976,Graduation,Divorced,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,21,5,1970,1,1
112,1965,2n Cycle,Married,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,197,16,1960,0,0
113,1984,Graduation,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,1257,16,1980,0,0
114,1953,Master,Married,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,16,8,1950,2,1
115,1956,PhD,Married,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,145,23,1950,2,1
116,1952,Graduation,Married,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,196,19,1950,1,1
117,1958,Master,Single,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,52,23,1950,2,1
118,1969,Graduation,Married,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,318,19,1960,0,0
119,1964,PhD,Married,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,36,16,1960,2,1
120,1967,PhD,Married,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,642,23,1960,0,0
121,1976,Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,14,6,1970,1,1
122,1959,PhD,Married,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,37,9,1950,3,1
123,1973,PhD,Single,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,12,6,1970,2,1
124,1965,PhD,Divorced,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,16,7,1960,2,1
125,1992,Master,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,1034,22,1990,0,0
126,1976,Master,Married,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,245,17,1970,1,1
127,1962,Graduation,Married,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,820,23,1960,0,0
128,1974,PhD,Single,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,191,25,1970,1,1
129,1988,Graduation,Married,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,148,12,1980,1,1
130,1976,Graduation,Married,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,189,15,1970,2,1
131,1975,Graduation,Married,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,39,6,1970,1,1
132,1981,Graduation,Married,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,11,4,1980,1,1
133,1973,2n Cycle,Married,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,105,16,1970,3,1
134,1966,Master,Married,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,57,8,1960,0,0
135,1953,Master,Married,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,138,16,1950,2,1
136,1969,Graduation,Married,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,88,19,1960,1,1
137,1972,2n Cycle,Married,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,85,17,1970,1,1
138,1988,Graduation,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,50,11,1980,1,1
139,1952,PhD,Married,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,57,26,1950,1,1
140,1949,Graduation,Married,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,329,21,1940,0,0
141,1958,Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,79,15,1950,1,1
142,1978,Graduation,Single,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,10,4,1970,3,1
143,1977,Graduation,Married,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,78,9,1970,1,1
144,1955,Graduation,Single,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,547,18,1950,0,0
145,1958,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,3,4,1950,3,1
146,1945,PhD,Married,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,308,27,1940,0,0
147,1984,Graduation,Married,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,59,11,1980,1,1
148,1975,PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,268,20,1970,0,0
149,1966,Graduation,Married,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,39,9,1960,3,1
150,1953,Graduation,Divorced,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,248,18,1950,0,0
151,1959,Graduation,Divorced,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,45,12,1950,0,0
152,1988,Graduation,Single,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,640,15,1980,0,0
153,1957,Graduation,Married,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,37,9,1950,2,1
154,1965,Graduation,Married,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,21,6,1960,2,1
155,1982,Graduation,Married,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,21,7,1980,1,1
156,1970,Graduation,Married,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,33,8,1970,2,1
157,1959,PhD,Married,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,6,8,1950,2,1
158,1967,Graduation,Single,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,12,7,1960,1,1
159,1975,PhD,Married,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,589,28,1970,1,1
160,1948,PhD,Married,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,271,25,1940,0,0
161,1970,PhD,Married,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,14,7,1970,2,1
162,1959,Graduation,Married,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,7,4,1950,3,1
163,1951,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,548,25,1950,0,0
164,1976,PhD,Married,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,27,10,1970,1,1
165,1988,2n Cycle,Married,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,24,9,1980,1,1
166,1946,Master,Married,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,255,24,1940,0,0
167,1984,Master,Married,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,7,6,1980,1,1
168,1961,Basic,Married,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,18,6,1960,0,0
169,1983,Graduation,Married,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,29,5,1980,1,1
170,1970,PhD,Single,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,2,7,1970,1,1
171,1966,Graduation,Married,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,126,18,1960,1,1
172,1976,Graduation,Married,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,707,24,1970,0,0
173,1964,PhD,Married,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,22,7,1960,2,1
174,1978,Basic,Married,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,43,5,1970,1,1
175,1989,PhD,Married,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,601,28,1980,0,0
176,1988,Graduation,Married,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,27,8,1980,1,1
177,1973,Graduation,Married,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,59,16,1970,2,1
178,1977,Graduation,Married,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,13,6,1970,2,1
179,1980,Master,Married,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,154,23,1980,0,0
180,1954,Graduation,Married,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,857,17,1950,0,0
181,1954,Graduation,Married,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,721,17,1950,0,0
182,1973,PhD,Single,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,87,15,1970,2,1
183,1952,Graduation,Divorced,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,44,19,1950,1,1
184,1968,Graduation,Single,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,915,18,1960,0,0
185,1978,Graduation,Divorced,63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,422,29,1970,1,1
186,1965,PhD,Single,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,13,6,1960,2,1
187,1984,Master,Single,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,12,4,1980,0,0
188,1988,Graduation,Married,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,26,5,1980,1,1
189,1963,Master,Divorced,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,178,17,1960,2,1
190,1966,Graduation,Married,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,7,6,1960,1,1
191,1954,Graduation,Divorced,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,410,29,1950,1,1
192,1956,Graduation,Married,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,157,15,1950,1,1
193,1954,Graduation,Married,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,374,20,1950,0,0
194,1968,PhD,Married,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,30,19,1960,2,1
195,1974,Master,Married,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,78,26,1970,2,1
196,1985,Graduation,Married,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,818,17,1980,0,0
197,1977,Graduation,Married,41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,203,20,1970,1,1
198,1978,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,4,4,1970,3,1
199,1948,Master,Married,83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,475,25,1940,0,0
200,1954,Master,Divorced,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,37,12,1950,1,1
201,1980,Graduation,Married,69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,236,28,1980,1,1
202,1988,2n Cycle,Married,45204.0,1,0,93,30,11,25,29,1,18,1,1,1,4,3,65,7,1980,1,1
203,1969,Graduation,Married,72460.0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,630,16,1960,0,0
204,1970,PhD,Married,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,180,22,1970,2,1
205,1980,PhD,Married,30732.0,1,0,44,155,1,25,0,1,3,4,4,1,4,8,26,13,1980,1,1
206,1962,Graduation,Divorced,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,245,32,1960,1,1
207,1978,Graduation,Married,42011.0,1,0,46,131,0,16,2,1,39,4,3,1,4,8,18,12,1970,1,1
208,1976,Graduation,Married,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,86,16,1970,1,1
209,1952,Graduation,Divorced,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,224,18,1950,1,1
210,1972,PhD,Married,79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,893,17,1970,0,0
211,1986,PhD,Married,34320.0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,13,4,1980,1,1
212,1966,Graduation,Single,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,148,23,1960,2,1
213,1962,2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,440,14,1960,1,1
214,1971,Graduation,Married,38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,13,4,1970,1,1
215,1951,Graduation,Single,15033.0,0,0,37,0,4,5,6,0,4,1,1,0,3,3,15,5,1950,0,0
216,1965,PhD,Married,62745.0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,513,29,1960,1,1
217,1975,2n Cycle,Married,22212.0,1,0,49,5,9,20,6,8,21,2,2,0,4,6,35,8,1970,1,1
218,1982,Master,Married,23661.0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,4,5,1980,1,1
219,1958,PhD,Single,79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,144,19,1950,1,1
220,1973,Graduation,Single,7500.0,1,0,54,5,3,10,12,7,20,4,3,1,3,7,25,11,1970,1,1
221,1968,Graduation,Divorced,73455.0,0,0,98,901,61,757,186,163,20,1,6,5,10,3,1004,22,1960,0,0
222,1958,Graduation,Married,64961.0,0,1,97,382,114,276,75,124,38,2,6,4,4,3,465,16,1950,1,1
223,1971,Graduation,Single,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,10,5,1970,1,1
224,1990,Graduation,Married,73687.0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,874,22,1990,0,0
225,1958,Graduation,Married,61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,133,31,1950,1,1
226,1964,PhD,Married,31686.0,1,1,31,11,0,5,0,0,1,2,1,0,3,6,5,6,1960,2,1
227,1972,Graduation,Married,80134.0,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,392,16,1970,1,1
228,1953,Graduation,Married,75027.0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,376,21,1950,1,1
229,1988,PhD,Married,67546.0,0,0,90,864,134,768,150,38,172,1,4,10,5,3,1052,20,1980,0,0
230,1969,Master,Married,65176.0,0,1,57,960,28,183,220,70,70,4,9,6,6,6,431,25,1960,1,1
231,1975,Master,Single,31160.0,1,0,59,16,3,25,6,1,13,2,2,0,3,8,34,7,1970,1,1
232,1985,Graduation,Single,29938.0,1,0,52,3,3,7,0,2,11,2,1,0,3,6,10,6,1980,1,1
233,1958,2n Cycle,Married,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,120,11,1950,0,0
234,1967,Graduation,Married,75702.0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,426,26,1960,2,1
235,1974,PhD,Single,30899.0,1,0,35,24,0,8,0,0,1,2,1,0,3,6,8,6,1970,1,1
236,1961,PhD,Married,63342.0,0,1,48,918,21,118,13,10,21,3,8,3,5,6,152,19,1960,1,1
237,1964,Graduation,Single,45989.0,0,1,97,138,33,87,28,24,12,4,3,2,7,3,148,16,1960,1,1
238,1964,Graduation,Single,18701.0,1,1,95,12,4,2,10,6,10,4,2,0,4,5,16,10,1960,2,1
239,1957,PhD,Single,40737.0,2,1,24,11,0,4,0,0,2,1,1,0,2,8,4,4,1950,3,1
