,MntGoldProds,MntGroceryProducts,MntWines,TotalPurchase
136,13,88,346,19
137,91,85,233,17
138,20,50,5,11
139,76,57,888,26
140,42,329,997,21
141,3,79,212,15
142,0,10,8,4
143,14,78,42,9
144,57,547,536,18
145,5,3,5,4
146,33,308,1349,27
147,5,59,53,11
148,12,268,1001,20
149,28,39,18,9
150,27,248,125,18
151,2,45,212,12
152,124,640,277,15
153,20,37,15,9
154,7,21,7,6
155,16,21,12,7
156,27,33,85,8
157,6,6,81,8
158,48,12,59,7
159,26,589,1149,28
160,111,271,847,25
161,2,14,29,7
162,1,7,2,4
163,223,548,207,25
164,7,27,152,10
165,9,24,12,9
166,141,255,620,24
167,12,7,47,6
168,10,18,1,6
169,7,29,10,5
170,2,2,35,7
171,117,126,356,18
172,15,707,783,24
173,4,22,42,7
174,36,43,1,5
175,102,601,466,28
176,22,27,23,8
177,12,59,235,16
178,7,13,10,6
179,8,154,656,23
180,51,857,519,17
181,172,721,344,17
182,79,87,96,15
183,39,44,448,19
184,92,915,265,18
185,54,422,587,29
186,3,13,22,6
187,15,12,6,4
188,14,26,7,5
189,21,178,81,17
190,4,7,54,6
191,192,410,1170,29
192,8,157,72,15
193,12,374,613,20
194,10,30,224,19
195,44,78,410,26
196,54,818,239,17
197,89,203,171,20
198,1,4,12,4
199,16,475,1076,25
200,66,37,182,12
201,43,236,824,28
202,18,65,30,7
203,10,630,377,16
204,14,180,520,22
205,3,26,155,13
206,92,245,897,32
207,39,18,131,12
208,182,86,297,16
209,92,224,787,18
210,17,893,792,17
211,0,13,4,4
212,39,148,231,23
213,27,440,983,14
214,3,13,3,4
215,4,15,0,5
216,32,513,562,29
217,21,35,5,8
218,1,4,18,5
219,11,144,415,19
220,20,25,5,11
221,20,1004,901,22
222,38,465,382,16
223,1,10,14,5
224,181,874,559,22
225,152,133,789,31
226,1,5,11,6
227,80,392,1218,16
228,77,376,925,21
229,172,1052,864,20
230,70,431,960,25
231,13,34,16,7
232,11,10,3,6
233,25,120,45,11
234,30,426,650,26
235,1,8,24,6
236,21,152,918,19
237,12,148,138,16
238,10,16,12,10
239,2,4,11,4
240,13,14,1,6
241,24,267,554,25
242,7,88,167,15
243,5,10,9,4
244,20,76,177,17
245,20,30,38,11
246,241,687,483,19
247,69,37,77,11
248,116,534,182,13
249,21,34,10,8
250,146,638,778,14
251,6,30,16,10
252,13,49,167,12
253,4,24,13,10
254,10,49,33,9
255,7,116,625,23
256,162,487,216,23
257,15,713,68,12
258,54,545,196,17
259,131,135,635,22
260,17,56,4,10
261,182,86,297,16
262,28,193,84,13
263,66,176,204,15
264,3,8,26,7
265,20,30,15,7
266,74,478,304,23
267,135,325,285,33
268,28,914,395,22
269,51,88,248,16
270,12,11,20,5
271,14,76,39,10
272,203,918,777,19
273,13,46,8,9
274,8,4,9,4
275,40,80,1241,23
276,8,15,6,5
277,11,20,65,7
278,38,338,395,12
279,35,80,801,28
280,10,14,36,11
281,28,187,513,21
282,0,50,37,7
283,52,128,80,13
284,25,24,14,10
285,63,478,525,23
286,15,68,1,7
287,11,426,675,18
288,10,27,509,18
289,15,68,154,11
290,17,21,3,11
291,2,10,25,7
292,14,682,768,23
293,17,31,185,16
294,1,7,24,7
295,27,31,44,8
296,50,257,91,15
297,6,10,11,6
298,77,162,412,21
299,9,16,3,4
300,1,3,16,4
301,73,491,731,23
302,41,142,424,24
303,126,320,792,18
304,9,33,21,9
305,2,12,22,5
306,0,5,33,5
307,11,76,68,12
308,4,10,9,4
309,6,25,40,6
310,23,229,909,19
311,18,16,23,5
312,8,14,11,7
313,139,444,317,22
314,30,518,797,22
315,21,29,10,5
316,122,671,856,22
317,38,926,456,21
318,18,81,37,8
319,34,45,1103,20
320,14,101,378,18
321,3,13,1,4
322,173,410,204,16
323,3,9,30,6
324,218,594,189,15
325,7,19,15,8
326,4,3,9,4
327,8,299,495,26
328,93,587,656,22
329,0,547,452,18
330,22,620,546,18
331,12,217,1048,24
332,10,16,22,7
333,10,11,78,7
334,48,933,561,15
335,8,263,629,14
336,38,99,269,16
337,61,1193,736,22
338,41,83,512,21
339,6,24,19,10
340,5,10,9,4
341,65,174,247,22
342,142,120,404,19
343,29,944,333,26
344,9,29,2,7
345,233,733,833,16
346,38,154,789,16
347,3,11,10,5
348,38,55,159,16
349,11,10,7,5
350,101,281,977,23
351,3,29,38,9
352,36,27,57,11
353,39,37,3,5
354,1,22,10,5
355,157,153,1043,20
356,12,24,3,5
357,1,5,11,4
358,6,11,3,4
359,55,186,43,14
360,32,105,73,16
361,6,1,12,4
362,13,20,4,8
363,107,68,314,17
364,159,225,571,26
365,23,13,70,7
366,86,200,866,19
367,57,953,594,19
368,4,65,140,12
369,81,580,375,16
370,24,74,102,10
371,78,148,554,23
372,45,604,919,24
373,32,55,96,12
374,19,21,5,6
375,5,14,2,5
376,35,19,6,11
377,7,26,23,10
378,21,367,610,23
379,19,69,67,13
380,110,148,65,11
381,4,26,416,24
382,2,14,23,5
383,3,39,19,9
384,10,100,155,14
385,2,27,14,6
386,4,107,370,19
387,32,36,4,8
388,26,332,407,17
389,14,242,1200,35
390,6,200,85,16
391,125,343,583,19
392,12,747,483,19
393,28,42,2,9
394,26,360,966,21
395,114,401,822,26
396,28,119,604,29
397,3,25,19,7
398,9,26,5,6
399,1,6,2,4
400,68,200,1076,16
401,21,813,1285,22
402,1,9,10,4
403,33,1108,551,27
404,57,297,800,19
405,12,23,2,7
406,172,286,378,24
407,16,408,1248,16
408,191,254,235,21
409,95,377,515,39
410,114,478,438,25
411,5,24,25,7
412,6,9,31,5
413,14,334,357,23
414,22,45,400,17
415,5,17,99,10
416,9,20,1,7
417,4,25,5,5
418,4,75,77,10
419,1,7,3,4
420,1,22,10,5
421,12,16,0,5
422,5,3,0,4
423,10,101,76,11
424,37,788,398,17
425,5,29,14,7
426,35,119,208,16
427,33,381,430,27
428,37,261,656,27
429,3,40,14,7
430,23,248,141,16
431,9,408,507,27
432,42,139,164,19
433,64,1195,606,24
434,46,86,116,14
435,5,99,143,13
436,32,763,398,19
437,66,289,522,16
438,122,452,161,22
439,14,8,112,9
440,241,687,483,19
441,37,61,7,9
442,0,461,789,20
443,17,453,1239,17
444,3,8,4,4
445,5,197,335,20
446,58,185,639,25
447,89,544,563,33
448,3,10,2,4
449,8,144,746,30
450,4,18,22,6
451,9,11,4,5
452,117,303,478,26
453,2,9,20,6
454,24,39,451,17
455,92,67,371,19
456,119,106,281,21
457,24,26,19,6
458,0,18,26,6
459,72,75,138,12
460,5,46,213,15
461,18,248,407,19
462,18,357,483,29
463,50,245,738,17
464,90,137,502,21
465,1,7,11,5
466,14,138,24,10
467,134,712,1170,21
468,14,105,185,14
469,40,649,983,22
470,130,79,691,15
471,26,152,504,20
472,12,315,317,22
473,2,12,29,6
474,17,368,1396,18
475,0,419,529,27
476,21,323,388,21
477,24,27,13,6
478,0,4,28,5
479,108,77,16,9
480,153,207,1047,21
481,6,9,31,5
482,108,277,815,28
483,29,655,225,24
484,84,540,493,22
485,20,73,34,8
486,59,263,382,25
487,31,57,127,12
488,91,469,325,23
489,6,93,238,16
490,55,572,1168,19
491,52,55,284,17
492,27,713,1288,22
493,20,50,65,11
494,11,19,11,5
495,75,454,227,17
496,0,829,1035,20
497,10,15,27,7
498,175,480,982,13
499,58,104,179,13
500,66,249,1379,16
501,85,81,32,10
502,2,26,8,5
503,12,373,881,20
504,35,235,141,15
505,120,758,1000,17
506,71,107,206,19
507,61,241,162,19
508,54,441,619,17
509,9,28,456,23
510,38,101,112,12
511,6,27,11,7
512,15,132,172,16
513,7,11,78,7
514,30,508,464,16
515,6,73,99,12
516,26,26,19,9
517,22,28,1,9
518,19,100,63,11
519,102,49,252,14
520,0,422,1478,20
521,54,302,198,20
522,6,20,8,8
523,46,1031,416,14
524,10,70,42,8
525,28,26,14,10
526,1,3,17,6
527,18,17,15,7
528,34,51,6,8
529,34,30,458,18
530,42,69,30,8
531,47,659,179,25
532,15,129,90,16
533,118,324,308,21
534,111,919,557,19
535,17,32,7,8
536,33,375,1492,20
537,12,28,30,7
538,38,1151,249,19
539,37,293,465,26
540,83,556,129,26
541,24,127,174,15
542,40,34,189,12
543,42,236,747,19
544,1,4,6,4
545,4,3,14,4
546,1,4,12,4
547,106,155,98,16
548,1,5,32,6
549,24,78,51,11
550,20,49,200,12
551,0,37,25,7
552,24,156,1050,21
553,30,35,117,11
554,7,31,9,10
555,8,11,56,8
556,4,76,145,16
557,2,10,203,15
558,99,69,270,20
559,10,22,9,5
560,52,43,37,7
561,2,7,46,7
562,9,21,31,11
563,224,583,1060,22
564,11,289,264,20
565,30,40,399,18
566,22,20,8,6
567,17,41,19,7
568,20,1086,817,21
569,165,894,292,20
570,16,19,12,5
571,0,218,130,15
572,30,23,6,9
573,13,37,16,6
574,2,9,19,6
575,15,35,4,9
576,4,36,31,10
577,4,2,36,5
578,99,173,526,23
579,54,622,400,17
580,49,130,410,20
581,14,33,80,11
582,4,8,55,7
583,1,17,5,5
584,11,24,8,6
585,22,739,410,18
586,40,109,101,12
587,10,94,162,12
588,15,13,2,5
589,2,10,25,7
590,41,403,389,25
591,24,117,215,18
592,3,5,27,6
593,10,22,5,5
594,26,110,179,17
595,15,37,352,17
596,32,31,17,6
597,35,262,625,14
598,2,17,10,5
599,107,449,390,21
600,6,19,10,7
601,190,801,215,20
602,17,682,1001,34
603,8,75,19,9
604,3,144,41,12
605,30,345,1181,25
606,54,288,603,14
607,83,556,129,26
608,30,52,10,7
609,79,796,514,21
610,1,1,14,4
611,163,771,387,32
612,48,180,121,14
613,69,402,965,26
614,73,356,707,18
615,159,225,571,26
616,26,736,586,21
617,25,207,1063,23
618,144,34,305,15
619,147,863,1200,13
620,11,50,163,17
621,19,87,125,11
622,50,271,721,28
623,146,107,315,17
624,6,23,16,6
625,11,326,757,32
626,9,27,30,7
627,17,129,219,15
628,15,33,111,10
629,25,120,45,11
630,71,532,410,26
631,76,46,100,12
632,5,72,509,22
633,6,11,3,4
634,151,370,445,24
635,11,54,2,6
636,2,18,4,5
637,19,31,6,5
638,3,3,14,4
639,15,40,1,7
640,2,6,26,5
641,18,60,111,12
642,10,569,418,28
643,83,150,327,21
644,141,411,371,17
645,59,235,275,20
646,38,154,789,16
647,1,6,1,4
648,36,189,1004,21
649,91,255,187,17
650,18,97,56,12
651,6,183,365,20
652,154,156,595,23
653,115,693,1132,30
654,45,327,34,15
655,41,94,116,12
656,54,495,565,17
657,78,191,372,20
658,40,1073,899,22
659,26,520,760,21
660,67,708,260,15
661,4,30,459,22
662,99,343,466,13
663,80,112,67,12
664,10,10,2,5
665,31,21,67,9
666,6,25,92,8
667,4,15,4,4
668,2,32,20,8
669,29,251,273,20
670,34,514,434,28
671,34,353,321,20
672,23,315,212,20
673,242,290,909,21
674,16,405,1184,15
675,5,56,112,12
676,93,587,656,22
677,18,14,23,6
678,30,64,537,20
679,191,45,712,14
680,18,16,23,5
681,6,9,1,4
682,66,173,664,26
683,42,50,6,8
684,49,227,299,20
685,4,122,99,13
686,147,455,749,11
687,80,589,345,17
688,5,29,9,7
689,174,449,440,31
690,3,10,8,4
691,9,258,670,16
692,155,162,524,21
693,1,8,6,6
694,249,935,597,16
695,32,25,7,12
696,4,7,54,6
697,48,811,445,24
698,151,524,294,23
699,26,90,292,21
700,183,213,412,26
701,0,3,8,4
702,43,88,349,23
703,109,145,328,23
704,30,108,144,16
705,42,276,1126,14
706,0,660,967,26
707,170,597,432,19
708,21,157,138,13
709,6,8,0,4
710,97,708,509,20
711,21,109,948,30
712,24,31,39,8
713,10,25,28,9
714,40,48,13,9
715,40,524,307,21
716,191,451,901,20
717,7,21,2,9
718,44,527,283,24
719,11,10,4,4
720,65,347,769,28
721,84,839,518,22
722,4,91,350,17
723,151,370,445,24
724,44,908,778,25
725,80,571,709,21
726,89,442,359,24
727,12,403,799,23
728,152,124,895,20
729,23,25,40,8
730,16,7,76,8
731,11,39,11,8
732,16,260,245,19
733,40,673,647,21
734,34,12,39,6
735,227,386,203,19
736,59,45,138,12
737,86,1196,587,17
738,121,515,595,29
739,61,64,43,8
740,58,91,301,18
741,90,456,180,21
742,205,508,794,20
743,112,124,392,25
744,12,26,39,9
745,0,3,13,4
746,6,17,70,8
747,0,478,680,18
748,4,12,26,6
749,134,749,522,22
750,0,636,412,19
751,5,18,6,6
752,9,13,2,5
753,5,13,1,4
754,3,23,6,5
755,17,20,4,7
756,6,21,18,12
757,198,273,324,24
758,139,159,327,22
759,34,111,229,17
760,61,954,521,14
761,23,499,184,17
762,13,31,4,6
763,12,73,183,15
764,52,80,31,9
765,12,75,219,13
766,35,239,479,23
767,177,302,584,26
768,15,847,627,24
769,5,29,24,10
770,16,200,330,21
771,8,13,19,5
772,47,81,28,10
773,22,391,606,28
774,29,400,1039,25
775,21,26,411,21
776,0,22,34,6
777,45,196,161,17
778,133,254,623,20
779,94,619,604,22
780,32,21,3,5
781,10,25,12,7
782,32,480,184,16
783,69,329,393,27
784,30,896,410,22
785,4,111,376,18
786,4,8,7,4
787,68,277,68,19
788,57,63,642,21
789,12,29,8,7
790,17,880,840,18
791,11,26,7,7
792,37,76,464,18
793,42,69,30,8
794,33,375,1492,20
795,34,637,752,24
796,15,322,1279,17
797,2,11,22,6
798,56,510,860,22
799,1,18,3,5
800,8,44,10,6
801,145,179,351,18
802,10,95,421,20
803,18,12,2,7
804,1,12,25,6
805,141,443,336,28
806,82,106,191,14
807,187,852,563,27
808,8,6,31,5
809,171,94,479,20
810,17,33,18,9
811,28,127,91,14
812,20,50,5,11
813,7,58,2,11
814,54,615,362,17
815,130,1100,724,19
816,205,490,605,19
817,63,147,547,23
818,14,68,104,11
819,18,17,8,11
820,110,34,224,13
821,5,123,384,20
822,63,1101,556,25
823,9,2,24,6
824,17,21,408,18
825,170,736,265,31
826,0,7,34,5
827,64,264,374,22
828,1,12,27,6
829,33,399,600,26
830,0,26,13,7
831,34,91,167,17
832,5,9,0,4
833,66,188,46,17
834,93,175,88,13
835,15,140,243,17
836,7,104,275,17
837,0,4,6,4
838,125,220,121,16
839,12,46,4,7
840,0,419,1308,17
841,38,376,515,16
842,4,33,4,10
843,25,94,48,12
844,142,269,562,23
845,33,732,769,18
846,98,109,379,23
847,36,90,29,9
848,68,726,387,28
849,7,91,12,11
850,40,25,6,9
851,21,19,27,7
852,1,6,9,4
853,3,25,22,7
854,40,1073,899,22
855,129,908,889,19
856,12,57,189,15
857,5,2,48,7
858,58,252,230,24
859,48,345,852,20
860,20,27,35,7
861,56,90,205,18
862,175,517,255,25
863,2,9,0,4
864,42,374,437,24
865,242,72,825,25
866,135,295,316,20
867,61,652,756,25
868,3,204,194,17
869,26,41,7,11
870,57,585,183,18
871,20,11,171,11
872,40,535,243,16
873,96,129,181,13
874,28,96,151,16
875,37,930,464,18
876,7,16,5,4
877,4,29,29,6
878,12,82,102,10
879,28,793,604,22
880,24,598,571,19
881,174,71,953,31
882,28,78,63,10
883,53,464,398,14
884,28,223,741,15
885,0,422,1478,20
886,47,115,156,14
887,16,674,960,25
888,6,2,38,5
889,182,719,315,19
890,26,47,15,7
891,12,26,19,9
892,33,767,812,26
893,115,255,73,16
894,108,657,372,19
895,166,960,871,19
896,81,580,375,16
897,80,563,760,21
898,12,609,471,20
899,33,52,31,7
900,63,84,819,25
901,7,15,1,5
902,227,386,203,19
903,2,17,26,8
904,32,499,354,17
905,35,470,1253,30
906,106,278,371,26
907,15,193,588,23
908,144,410,480,22
909,120,82,517,20
910,98,752,267,12
911,172,974,1111,18
912,15,28,7,9
913,36,48,1166,19
914,133,241,261,20
915,46,99,135,13
916,14,22,6,6
917,47,219,711,16
918,11,15,11,6
919,18,17,42,9
920,18,71,79,12
921,38,68,20,7
922,14,10,30,5
923,4,28,20,12
924,139,75,115,16
925,83,307,263,22
926,6,19,69,8
927,57,37,267,16
928,114,281,561,26
929,42,44,492,20
930,12,22,14,7
931,2,50,80,13
932,15,109,97,17
933,131,341,197,21
934,84,977,693,23
935,12,29,43,10
936,7,2,14,4
937,48,356,186,24
938,45,582,434,18
939,5,15,59,11
940,26,43,16,10
941,31,173,230,18
942,15,628,829,24
943,18,668,1206,19
944,26,90,292,21
945,30,23,30,9
946,195,161,729,28
947,7,4,12,4
948,11,21,22,6
949,54,422,587,29
950,231,468,674,23
951,23,91,284,16
952,37,793,1023,19
953,182,819,1394,26
954,121,846,311,27
955,5,12,27,7
956,51,373,1296,17
957,3,13,3,4
958,27,148,393,22
959,70,482,218,24
960,20,16,66,8
961,4,15,4,4
962,0,640,795,23
963,20,37,15,9
964,64,447,384,25
965,50,47,244,16
966,38,332,158,20
967,182,188,349,22
968,15,26,4,7
969,39,33,223,16
970,37,238,157,21
971,70,354,397,23
972,191,451,901,20
973,28,26,14,10
974,4,3,10,4
975,158,628,1230,21
976,0,34,81,8
977,27,86,154,18
978,12,28,63,7
979,3,11,30,9
980,11,262,90,15
981,76,500,635,20
982,11,92,127,11
983,6,15,13,5
984,18,81,18,8
985,1,32,45,10
986,0,25,38,6
987,108,220,986,25
988,7,3,61,6
989,12,42,4,7
990,83,341,201,21
991,26,37,19,7
992,26,38,4,7
993,2,2,18,5
994,33,361,806,32
995,28,941,380,22
996,19,1258,576,20
997,40,543,458,16
998,16,26,5,5
999,145,738,350,19
1000,44,204,39,13
1001,15,19,26,11
1002,8,16,68,9
1003,7,16,45,6
1004,123,147,359,21
1005,218,59,403,18
1006,5,15,34,8
1007,200,508,292,14
1008,6,16,14,5
1009,3,38,80,10
1010,29,57,30,7
1011,10,597,463,27
1012,187,196,75,18
1013,26,121,538,25
1014,76,500,635,20
1015,1,3,8,4
1016,178,947,1315,25
1017,26,21,4,7
1018,10,15,12,5
1019,26,595,347,21
1020,15,58,192,15
1021,25,12,241,12
1022,56,549,631,22
1023,54,494,336,17
1024,34,45,1099,28
1025,200,212,743,26
1026,35,435,124,20
1027,20,12,15,6
1028,9,100,397,17
1029,14,11,10,8
1030,147,929,530,23
1031,149,346,1215,33
1032,2,9,3,4
1033,17,437,444,24
1034,2,17,26,8
1035,190,475,736,25
1036,56,216,473,23
1037,8,7,32,7
1038,125,44,288,14
1039,118,810,1050,21
1040,44,209,1001,25
1041,2,8,9,6
1042,42,110,234,15
1043,3,10,7,4
1044,117,507,251,13
1045,16,156,172,19
1046,99,654,565,16
1047,0,10,5,4
1048,133,998,918,20
1049,142,187,652,26
1050,2,10,4,6
1051,81,236,152,22
1052,3,11,8,4
1053,43,781,336,17
1054,38,887,938,20
1055,12,45,68,9
1056,75,454,227,17
1057,3,29,38,9
1058,4,11,105,10
1059,27,205,162,15
1060,33,245,574,13
1061,41,516,160,15
1062,1,5,6,4
1063,35,253,614,25
1064,27,777,897,17
1065,45,243,70,14
1066,54,250,120,20
1067,10,39,211,13
1068,21,23,11,6
1069,0,470,760,21
1070,2,8,53,6
1071,17,32,7,8
1072,16,123,391,19
1073,6,86,199,19
1074,16,591,516,16
1075,45,190,709,16
1076,0,4,12,4
1077,0,24,19,9
1078,168,168,1224,14
1079,24,23,16,5
1080,153,157,88,12
1081,46,42,2,6
1082,29,93,508,23
1083,21,327,381,22
1084,6,44,74,9
1085,73,100,146,16
1086,9,83,23,8
1087,29,168,110,14
1088,41,154,165,20
1089,95,623,957,18
1090,16,20,41,7
1091,11,9,1,4
1092,112,847,176,25
1093,70,72,815,17
1094,4,5,6,4
1095,16,30,8,5
1096,84,1125,717,24
1097,39,888,1067,21
1098,29,123,166,14
1099,4,40,29,9
1100,12,587,714,20
1101,4,16,8,8
1102,20,64,229,14
1103,48,220,320,22
1104,3,33,23,7
1105,20,17,1,7
1106,18,12,56,8
1107,134,423,508,25
1108,3,27,29,11
1109,27,68,46,9
1110,32,179,454,31
1111,19,42,350,16
1112,9,8,10,4
1113,30,275,735,27
1114,37,413,897,24
1115,5,8,5,4
1116,114,805,777,26
1117,13,49,162,12
1118,2,11,35,10
1119,19,140,342,26
1120,9,581,258,15
1121,13,686,658,11
1122,106,547,356,25
1123,41,40,213,12
1124,32,179,454,31
1125,9,33,457,17
1126,54,683,241,21
1127,2,6,210,12
1128,11,125,441,22
1129,8,41,19,6
1130,13,58,28,9
1131,97,266,476,17
1132,50,623,364,16
1133,8,5,0,4
1134,12,16,0,5
1135,33,716,863,16
1136,47,42,349,17
1137,14,38,5,7
1138,4,29,184,13
1139,2,8,8,4
1140,25,147,277,17
1141,19,24,44,9
1142,96,1129,1156,18
1143,19,103,373,19
1144,11,90,134,11
1145,24,60,1148,21
1146,40,36,6,12
1147,1,12,4,4
1148,5,14,5,5
1149,10,24,24,7
1150,20,101,899,26
1151,4,42,108,10
1152,13,9,27,5
1153,99,831,816,16
1154,42,107,1298,25
1155,29,28,10,6
1156,10,57,87,9
1157,23,57,57,10
1158,131,135,635,22
1159,61,64,43,8
1160,11,186,964,19
1161,80,301,572,14
1162,66,514,341,27
1163,22,76,63,12
1164,84,375,221,22
1165,14,36,140,11
1166,13,14,1,6
1167,0,783,291,17
1168,29,106,544,22
1169,0,922,684,26
1170,7,21,1,6
1171,10,4,35,5
1172,13,31,87,9
1173,20,31,309,15
1174,34,261,172,18
1175,76,330,625,31
1176,59,997,972,21
1177,75,51,157,15
1178,20,57,48,11
1179,34,203,279,17
1180,4,16,132,13
1181,45,604,919,24
1182,26,25,62,8
1183,42,52,1,10
1184,9,13,2,4
1185,41,218,408,22
1186,25,10,51,7
1187,6,20,62,11
1188,12,239,952,20
1189,45,141,618,22
1190,27,21,11,7
1191,56,24,318,18
1192,2,14,56,9
1193,7,71,110,14
1194,3,13,23,5
1195,12,21,27,10
1196,6,25,18,7
1197,11,9,18,5
1198,15,340,303,25
1199,11,22,97,8
1200,76,528,997,24
1201,4,25,5,5
1202,7,46,95,12
1203,3,11,1,5
1204,9,16,46,7
1205,66,307,411,23
1206,45,422,244,10
1207,45,142,152,16
1208,40,43,10,11
1209,4,5,12,4
1210,1,4,5,4
1211,19,164,790,27
1212,44,581,882,13
1213,30,299,615,28
1214,27,439,1004,34
1215,71,461,133,17
1216,154,156,595,23
1217,23,91,293,18
1218,192,82,313,16
1219,64,335,151,19
1220,6,2,15,4
1221,126,1228,736,23
1222,20,12,15,6
1223,51,712,982,17
1224,37,556,1142,27
1225,9,11,28,8
1226,23,12,46,7
1227,27,777,897,17
1228,132,166,489,29
1229,32,19,25,9
1230,1,36,145,10
1231,54,681,630,19
1232,38,192,760,16
1233,15,352,420,24
1234,30,72,125,14
1235,70,76,464,25
1236,8,47,6,9
1237,60,124,1090,22
1238,10,15,3,4
1239,10,35,24,8
1240,210,182,737,22
1241,27,81,254,18
1242,241,1017,817,19
1243,119,392,620,28
1244,1,24,13,6
1245,47,299,113,17
1246,144,234,7,13
1247,5,22,16,5
1248,4,30,462,18
1249,34,18,22,7
1250,210,1126,968,23
1251,125,314,283,21
1252,3,13,1,4
1253,1,10,14,5
1254,8,35,30,8
1255,5,5,4,4
1256,1,9,52,7
1257,48,77,62,10
1258,10,19,20,5
1259,78,158,545,25
1260,95,908,558,15
1261,25,22,6,10
1262,172,974,1111,18
1263,10,20,4,6
1264,49,73,183,16
1265,72,542,546,19
1266,54,172,606,26
1267,64,65,266,19
1268,14,316,1142,23
1269,46,69,1074,28
1270,154,259,771,32
1271,6,221,371,21
1272,43,941,556,23
1273,14,90,202,15
1274,37,412,209,26
1275,12,187,35,14
1276,3,17,37,9
1277,90,177,171,17
1278,5,25,12,5
1279,27,31,44,8
1280,20,15,20,5
1281,138,657,779,27
1282,88,127,170,15
1283,134,391,491,26
1284,176,122,173,16
1285,4,39,7,8
1286,205,254,1205,28
1287,7,38,10,7
1288,18,54,97,9
1289,97,679,345,17
1290,46,25,6,8
1291,0,228,73,17
1292,168,425,711,21
1293,93,370,774,27
1294,75,480,163,20
1295,41,158,82,13
1296,32,662,358,17
1297,14,46,66,8
1298,3,13,13,5
1299,36,111,139,14
1300,15,25,274,13
1301,102,67,262,16
1302,34,45,1099,28
1303,18,31,32,6
1304,5,6,2,4
1305,42,50,6,8
1306,6,14,6,5
1307,11,203,135,16
1308,38,91,641,24
1309,12,587,714,20
1310,14,646,794,23
1311,140,634,420,17
1312,11,13,1,4
1313,6,120,86,11
1314,95,608,823,20
1315,53,547,231,23
1316,33,42,8,8
1317,29,353,182,19
1318,18,1306,557,19
1319,12,36,79,10
1320,88,130,368,22
1321,22,26,6,7
1322,50,226,160,22
1323,28,315,488,27
1324,23,76,691,15
1325,82,375,543,16
1326,26,135,254,17
1327,7,16,5,5
1328,5,56,112,12
1329,30,85,134,11
1330,17,69,143,12
1331,1,32,51,8
1332,3,5,27,6
1333,4,30,459,22
1334,88,186,689,28
1335,27,48,283,17
1336,7,39,347,20
1337,31,27,5,7
1338,24,18,280,15
1339,38,80,95,10
1340,28,55,84,12
1341,4,23,18,6
1342,119,769,992,20
1343,2,8,9,6
1344,2,20,19,5
1345,80,571,709,21
1346,71,89,158,17
1347,36,47,10,10
1348,3,14,25,5
