,AcceptedCmp,Complain,Dt_Customer,Education,HaveChild,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntGroceryProducts,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,TotalChild,TotalPurchase,Unnamed: 0,YearRange,Year_Birth
35,0,0,11-02-2014,Graduation,1,42429.0,0,Divorced,2,0,4,8,6,0,55,1,2,3,1,5,99,1,1,7,35,1970,1973
36,2,0,01-02-2013,PhD,0,48948.0,0,Divorced,160,8,42,374,206,49,437,10,2,5,7,6,53,0,0,24,36,1940,1943
37,0,0,29-04-2013,Graduation,1,80011.0,0,Married,82,76,102,694,536,178,421,6,2,5,8,4,3,1,1,21,37,1980,1980
38,0,0,12-03-2013,Master,1,20559.0,1,Married,3,1,7,33,29,0,13,0,2,3,2,8,88,0,1,7,38,1980,1985
39,0,0,24-12-2012,Graduation,1,21994.0,0,Married,3,0,3,9,6,1,9,0,1,3,0,5,4,1,1,4,39,1950,1957
40,0,0,05-11-2013,PhD,0,51222.5,0,Single,3,11,39,64,50,2,81,3,1,4,1,2,80,0,0,9,40,1950,1959
41,0,0,02-10-2013,Master,1,7500.0,1,Married,3,1,12,14,10,2,3,0,3,3,2,5,19,0,1,8,41,1970,1975
42,0,0,28-06-2014,Graduation,0,79941.0,0,Single,227,164,174,657,266,30,123,4,1,9,2,1,72,0,0,16,42,1970,1976
43,1,0,09-11-2012,2n Cycle,0,7500.0,0,Married,15,18,50,47,14,22,3,1,3,3,3,9,24,0,0,10,43,1990,1996
44,0,0,01-01-2014,Graduation,1,51222.5,2,Single,6,5,7,59,48,10,48,1,3,4,2,6,96,1,3,10,44,1950,1951
45,0,0,08-11-2012,PhD,1,72550.0,1,Married,50,50,38,417,317,38,826,2,9,12,5,8,39,1,2,28,45,1950,1954
46,0,0,12-05-2014,Graduation,1,65486.0,0,Divorced,37,19,14,181,125,67,245,2,1,10,4,2,29,1,1,17,46,1950,1957
47,0,0,11-08-2012,Master,0,79143.0,0,Married,27,37,32,844,780,167,650,9,1,13,6,3,2,0,0,29,47,1960,1964
48,0,0,02-01-2013,Graduation,1,35790.0,1,Single,30,6,3,56,20,1,12,0,2,3,2,7,54,0,1,7,48,1970,1977
49,3,0,07-06-2014,Graduation,0,82582.0,0,Divorced,156,120,241,826,550,40,510,9,1,7,4,1,54,0,0,21,49,1970,1977
50,0,0,12-06-2013,Graduation,1,66373.0,1,Married,12,9,109,145,124,24,328,2,7,10,4,3,57,1,2,23,50,1970,1978
51,2,0,19-11-2012,Master,0,82384.0,0,Married,180,51,190,663,432,120,984,10,1,13,3,1,55,0,0,27,51,1950,1955
52,1,0,02-04-2013,Graduation,0,70287.0,0,Divorced,121,35,40,638,482,120,295,5,1,10,5,3,30,0,0,21,52,1960,1966
53,0,0,28-04-2014,Graduation,1,27938.0,1,Single,2,0,5,10,8,1,13,0,1,4,1,3,31,0,1,6,53,1980,1988
54,0,0,17-06-2013,Graduation,1,51222.5,1,Single,2,3,6,27,22,2,11,0,2,3,2,6,57,0,1,7,54,1980,1982
55,0,0,03-03-2014,PhD,1,55954.0,0,Married,0,0,43,28,28,0,447,2,3,6,8,7,63,1,1,19,55,1960,1968
56,3,0,04-07-2013,Master,0,75777.0,0,Single,69,26,80,633,538,13,712,6,1,11,3,1,12,0,0,21,56,1980,1982
57,0,0,07-09-2012,Graduation,1,66653.0,1,Married,16,18,6,136,102,18,452,2,4,12,4,3,18,1,2,22,57,1970,1975
58,0,0,18-02-2013,Graduation,1,61823.0,0,Single,37,7,169,178,134,14,523,2,4,10,8,7,26,1,1,24,58,1950,1952
59,0,0,11-06-2013,PhD,1,67680.0,0,Divorced,0,0,6,48,48,6,546,3,1,8,7,5,8,1,1,19,59,1950,1951
60,0,0,06-12-2013,Graduation,0,70666.0,0,Married,119,40,30,526,367,122,398,4,1,4,7,4,29,0,0,16,60,1940,1948
61,1,0,21-05-2013,Graduation,1,25721.0,1,Married,3,3,15,12,6,6,1,1,1,2,1,7,75,0,1,5,61,1970,1971
62,0,0,11-05-2014,Graduation,1,32474.0,1,Married,0,0,0,1,1,0,10,0,1,2,1,7,0,1,2,4,62,1960,1967
63,3,0,19-03-2014,2n Cycle,1,88194.0,0,Single,201,14,38,524,309,24,688,10,1,10,11,5,19,1,1,32,63,1970,1979
64,0,0,27-09-2013,Graduation,1,69096.0,0,Married,7,49,109,215,159,82,247,2,1,10,5,4,4,1,1,18,64,1950,1958
65,0,0,08-04-2013,Graduation,1,74854.0,1,Married,58,59,73,604,487,29,856,5,7,5,2,5,90,2,3,19,65,1970,1970
66,0,0,11-09-2012,Master,0,66991.0,0,Married,189,36,12,685,460,60,496,8,3,6,4,3,1,0,0,21,66,1950,1954
67,0,0,14-09-2012,2n Cycle,1,51222.5,1,Married,17,3,17,63,43,4,25,0,3,3,3,8,25,0,1,9,67,1970,1973
68,0,0,17-03-2013,Graduation,1,65031.0,0,Married,84,107,86,482,291,37,258,3,4,13,10,7,29,1,1,30,68,1950,1959
69,1,0,05-04-2013,PhD,1,60631.0,1,Married,0,6,19,71,65,6,565,2,5,8,9,7,88,1,2,24,69,1970,1975
70,0,0,30-04-2014,Graduation,0,28332.0,0,Married,4,10,9,27,13,15,14,1,1,4,2,2,58,0,0,8,70,1950,1952
71,0,0,19-12-2012,Graduation,1,40246.0,1,Divorced,2,1,1,9,6,1,2,0,1,2,1,6,68,0,1,4,71,1970,1977
72,1,0,27-08-2012,Master,0,75251.0,0,Married,97,111,18,1133,925,18,721,6,1,5,7,5,34,0,0,19,72,1970,1972
73,2,0,12-10-2012,Graduation,0,75825.0,0,Single,137,105,51,1021,779,105,1032,8,0,9,5,4,40,0,0,22,73,1970,1976
74,0,1,04-09-2013,2n Cycle,0,26326.0,0,Married,0,0,9,5,5,3,1,0,1,3,0,3,12,0,0,4,74,1970,1976
75,2,0,02-01-2013,Graduation,0,56046.0,0,Married,0,0,51,64,64,0,577,1,2,8,10,8,9,0,0,21,75,1960,1965
76,0,0,29-08-2012,Graduation,1,29760.0,1,Single,7,4,17,79,68,5,64,1,4,4,3,8,87,0,1,12,76,1980,1985
77,0,0,23-06-2013,Graduation,1,26304.0,1,Married,2,1,4,8,5,0,4,0,1,2,1,7,5,0,1,4,77,1960,1969
78,0,0,03-07-2013,2n Cycle,1,23559.0,1,Married,7,5,23,31,19,0,25,0,3,3,3,7,87,0,1,9,78,1970,1973
79,0,0,11-05-2013,Master,0,38620.0,0,Married,34,17,89,95,44,22,112,5,1,3,2,3,56,0,0,11,79,1960,1963
80,0,0,25-02-2014,Graduation,0,81361.0,0,Divorced,27,23,76,474,424,65,163,10,1,13,3,1,18,0,0,27,80,1980,1987
81,0,0,11-08-2013,Graduation,1,29440.0,1,Married,10,8,3,32,14,4,17,0,2,4,1,7,95,1,2,7,81,1960,1960
82,1,0,16-07-2013,Master,1,36138.0,1,Married,0,0,5,16,16,0,130,1,5,4,3,7,48,1,2,13,82,1970,1970
83,3,0,28-05-2014,Graduation,1,50388.0,0,Single,0,6,34,43,37,3,292,1,4,6,6,7,3,1,1,17,83,1950,1957
84,1,0,12-05-2014,Graduation,0,79593.0,0,Married,110,60,145,738,568,133,350,6,1,7,5,2,70,0,0,19,84,1970,1973
85,0,0,21-01-2014,Graduation,1,54178.0,0,Married,4,9,7,52,39,0,135,2,1,5,2,2,79,1,1,10,85,1960,1967
86,0,0,19-11-2012,PhD,1,51222.5,2,Married,49,42,53,283,192,37,230,2,12,8,7,9,4,1,3,29,86,1950,1957
87,0,0,27-05-2014,Graduation,1,51222.5,1,Single,2,0,1,10,8,0,7,0,1,2,1,7,45,1,2,4,87,1950,1957
88,0,0,23-11-2013,Master,0,51222.5,0,Married,98,37,18,494,359,28,445,4,1,8,2,1,87,0,0,15,88,1970,1973
89,0,0,23-03-2014,Master,1,42394.0,1,Single,0,2,4,12,10,1,15,0,1,3,1,7,69,0,1,5,89,1970,1972
90,0,0,24-05-2014,PhD,1,23626.0,1,Married,0,2,0,16,14,0,27,1,3,3,3,5,84,0,1,10,90,1970,1970
91,0,0,22-05-2014,Graduation,1,30096.0,1,Married,12,3,9,26,11,5,5,0,1,3,2,6,30,0,1,6,91,1980,1983
92,1,0,22-11-2012,Graduation,1,47916.0,0,Divorced,0,0,75,26,26,0,505,4,5,6,7,6,72,1,1,22,92,1960,1960
93,0,0,11-04-2013,Graduation,1,51813.0,1,Divorced,0,2,2,9,7,1,51,0,2,3,2,7,37,1,2,7,93,1970,1972
94,1,0,01-12-2013,2n Cycle,0,78497.0,0,Married,75,26,223,548,447,0,207,7,1,12,5,2,44,0,0,25,94,1950,1951
95,0,0,20-06-2013,PhD,0,50150.0,0,Married,65,46,11,203,92,61,135,2,2,7,5,5,32,0,0,16,95,1980,1983
96,0,0,23-07-2013,2n Cycle,1,47823.0,0,Single,2,1,10,8,5,1,53,0,2,3,2,8,0,1,1,7,96,1960,1960
97,0,0,30-03-2014,PhD,1,34554.0,0,Single,2,1,5,9,6,0,41,0,2,3,2,6,43,1,1,7,97,1950,1959
98,0,0,20-04-2013,Graduation,1,85693.0,0,Married,185,172,111,540,183,132,386,5,2,11,9,5,59,1,1,27,98,1970,1979
99,0,0,17-05-2013,PhD,0,65846.0,0,Married,80,81,81,437,276,40,562,3,1,6,6,4,68,0,0,16,99,1940,1945
100,1,0,08-05-2014,Graduation,0,87195.0,0,Married,50,76,38,816,690,26,217,11,1,5,3,1,35,0,0,20,100,1950,1959
101,0,0,10-12-2013,Basic,1,24594.0,1,Married,10,3,9,19,6,0,1,0,1,3,1,5,94,0,1,5,101,1970,1979
102,0,0,24-09-2013,Graduation,1,49096.0,1,Married,2,1,7,35,32,1,144,1,4,4,4,7,15,1,2,13,102,1960,1964
103,0,0,02-02-2013,Graduation,1,52413.0,0,Married,75,106,65,452,271,98,295,4,4,12,6,6,56,2,2,26,103,1960,1969
104,0,0,19-12-2012,Graduation,1,38557.0,1,Single,4,3,27,38,31,4,76,1,2,3,3,7,17,0,1,9,104,1970,1978
105,0,0,07-12-2012,Master,0,89058.0,0,Married,31,194,43,331,106,22,454,4,1,4,5,2,18,0,0,14,105,1960,1960
106,0,0,02-11-2013,Graduation,1,77298.0,0,Married,23,115,79,430,292,35,425,6,1,11,6,3,46,1,1,24,106,1970,1979
107,2,0,10-11-2012,PhD,0,68126.0,0,Single,23,17,86,351,311,51,1332,4,1,5,7,9,40,0,0,17,107,1990,1991
108,1,0,25-06-2014,Master,1,57288.0,0,Married,0,0,60,21,21,0,527,1,3,8,8,6,27,1,1,20,108,1960,1963
109,3,0,02-01-2013,Graduation,0,86037.0,0,Single,29,44,22,198,125,20,490,7,1,11,6,3,95,0,0,25,109,1990,1991
110,0,0,12-12-2012,PhD,1,43974.0,1,Married,0,0,72,101,101,0,378,4,5,6,6,7,19,0,1,21,110,1980,1980
111,0,0,10-09-2013,Graduation,1,50785.0,1,Single,0,1,27,22,21,1,64,1,2,3,2,6,27,1,2,8,111,1960,1962
112,2,0,24-01-2014,Graduation,0,90765.0,0,Married,151,99,33,1062,812,82,547,6,0,5,4,1,25,0,0,15,112,1970,1970
113,0,0,19-02-2013,2n Cycle,1,36550.0,1,Married,123,90,120,307,94,103,47,1,5,5,9,9,74,0,1,20,113,1970,1978
114,0,0,11-07-2013,2n Cycle,1,30753.0,1,Married,0,5,30,30,25,9,12,1,2,3,1,5,85,1,2,7,114,1960,1967
115,0,0,14-11-2013,Graduation,1,21918.0,1,Married,11,6,3,24,7,5,1,0,2,3,2,6,37,0,1,7,115,1960,1969
116,0,0,20-06-2013,Master,1,56129.0,0,Married,39,48,48,220,133,72,320,2,4,10,6,4,65,1,1,22,116,1950,1953
117,1,0,24-02-2014,Master,1,32557.0,1,Single,0,3,10,32,29,4,34,1,3,3,2,5,13,0,1,9,117,1960,1967
118,0,0,04-09-2013,Master,1,19510.0,2,Married,3,0,7,10,7,4,9,0,2,3,1,7,63,0,2,6,118,1980,1985
119,0,0,22-04-2013,Graduation,1,30992.0,1,Divorced,7,0,2,21,14,3,17,0,1,3,1,7,83,0,1,5,119,1970,1976
120,0,0,18-02-2013,2n Cycle,0,71488.0,0,Married,40,33,172,197,124,28,162,4,2,7,3,1,87,0,0,16,120,1960,1965
121,1,0,21-04-2013,Graduation,0,79607.0,0,Single,173,133,216,1257,951,0,450,6,1,6,3,1,37,0,0,16,121,1980,1984
122,0,0,08-06-2014,Master,1,54348.0,1,Married,0,0,4,16,16,0,70,0,2,4,2,6,51,1,2,8,122,1950,1953
123,0,0,11-07-2013,PhD,1,51222.5,0,Married,10,0,15,37,27,0,352,1,3,7,6,6,23,1,1,17,123,1960,1961
124,0,0,10-05-2014,PhD,1,77376.0,1,Married,16,19,12,145,110,12,492,3,4,10,6,4,72,1,2,23,124,1950,1956
125,0,0,30-09-2013,Graduation,1,62998.0,0,Married,65,58,58,196,73,89,120,4,5,5,5,5,10,1,1,19,125,1950,1952
126,0,0,10-03-2013,Master,1,61331.0,1,Single,0,5,41,52,47,5,534,1,5,6,11,8,42,1,2,23,126,1950,1958
127,0,0,10-02-2014,Graduation,0,73448.0,0,Married,23,106,130,318,189,41,236,2,1,9,7,4,10,0,0,19,127,1960,1969
128,0,0,11-08-2013,Graduation,1,51222.5,0,Married,38,65,124,299,196,71,231,5,1,7,6,4,96,1,1,19,128,1960,1963
129,0,0,14-08-2013,PhD,1,41551.0,1,Married,3,0,23,36,33,0,220,1,5,5,5,8,51,1,2,16,129,1960,1964
130,1,0,17-03-2013,PhD,0,62981.0,0,Married,38,14,0,642,590,44,796,5,1,13,4,3,21,0,0,23,130,1960,1967
131,0,0,08-08-2012,Basic,1,9548.0,1,Divorced,10,1,9,14,3,6,0,0,2,3,1,8,31,0,1,6,131,1970,1976
132,0,0,07-07-2013,PhD,1,33762.0,2,Married,2,1,16,37,34,0,53,2,3,2,2,8,61,1,3,9,132,1950,1959
133,2,0,19-05-2014,PhD,1,35860.0,1,Single,4,0,20,12,8,2,15,1,2,2,1,5,37,1,2,6,133,1970,1973
134,0,0,28-07-2013,PhD,1,36921.0,1,Divorced,3,1,4,16,12,1,17,0,2,3,2,7,74,1,2,7,134,1960,1965
135,0,0,19-10-2012,Master,0,92859.0,0,Single,52,61,20,1034,921,61,962,4,1,12,5,2,46,0,0,22,135,1990,1992
136,1,0,14-11-2013,Master,1,65104.0,0,Married,13,0,50,245,232,20,738,5,2,7,3,7,4,1,1,17,136,1970,1976
137,0,0,19-04-2013,Graduation,0,86111.0,0,Married,36,28,126,820,756,40,399,7,1,10,5,2,73,0,0,23,137,1960,1962
138,0,0,28-08-2013,PhD,1,68352.0,0,Single,43,16,33,191,132,33,614,5,3,9,8,6,47,1,1,25,138,1970,1974
139,0,0,19-03-2013,Graduation,1,41883.0,1,Married,73,34,116,148,41,16,32,2,3,3,4,7,13,0,1,12,139,1980,1988
140,0,0,18-10-2012,Graduation,1,59809.0,0,Married,32,16,49,189,141,41,598,3,3,6,3,8,36,2,2,15,140,1970,1976
141,1,0,28-10-2012,Graduation,1,23957.0,1,Married,20,1,16,39,18,11,2,0,1,3,2,6,47,0,1,6,141,1970,1975
142,0,1,28-08-2013,Graduation,1,38547.0,1,Married,0,1,4,11,10,1,6,0,1,2,1,8,49,0,1,4,142,1980,1981
143,0,0,22-08-2012,2n Cycle,1,35688.0,2,Married,12,3,32,105,90,1,73,1,7,4,4,8,94,1,3,16,143,1970,1973
144,0,0,21-06-2014,Master,0,49605.0,0,Married,12,16,8,57,29,20,42,1,1,4,2,3,65,0,0,8,144,1960,1966
145,0,0,24-04-2014,Master,1,59354.0,0,Married,39,21,13,138,78,13,295,4,1,7,4,3,59,2,2,16,145,1950,1953
146,1,0,07-03-2014,Graduation,1,65747.0,0,Married,23,17,13,88,48,13,346,1,4,6,8,6,96,1,1,19,146,1960,1969
147,0,0,14-12-2012,2n Cycle,1,46344.0,0,Married,8,20,91,85,57,20,233,1,4,5,7,7,28,1,1,17,147,1970,1972
148,0,0,12-05-2014,Graduation,1,34176.0,1,Single,19,7,20,50,24,14,5,0,4,4,3,6,12,0,1,11,148,1980,1988
149,0,0,09-10-2012,PhD,1,61010.0,0,Married,0,0,76,57,57,0,888,5,2,11,8,5,57,1,1,26,149,1950,1952
150,3,0,19-02-2013,Graduation,0,69372.0,0,Married,34,26,42,329,269,13,997,4,1,6,10,4,10,0,0,21,150,1940,1949
151,0,0,08-07-2013,Graduation,1,49967.0,0,Single,4,6,3,79,69,12,212,1,3,5,6,7,4,1,1,15,151,1950,1958
152,0,0,12-09-2013,Graduation,1,60199.0,1,Single,2,1,0,10,7,0,8,0,1,3,0,4,49,2,3,4,152,1970,1978
153,0,0,17-10-2013,Graduation,1,55375.0,0,Married,10,11,14,78,57,28,42,1,1,6,1,2,3,1,1,9,153,1970,1977
154,0,0,20-08-2013,Graduation,0,80317.0,0,Single,149,11,57,547,387,91,536,4,1,10,3,1,64,0,0,18,154,1950,1955
155,0,0,01-07-2013,Master,1,30523.0,2,Single,0,0,5,3,3,0,5,0,1,2,1,7,0,1,3,4,155,1950,1958
156,0,0,05-11-2012,PhD,0,70356.0,0,Married,43,16,33,308,249,16,1349,6,2,9,10,6,20,0,0,27,156,1940,1945
157,0,0,05-01-2014,Graduation,1,23228.0,1,Married,7,3,5,59,49,4,53,0,4,4,3,8,91,0,1,11,157,1980,1984
158,0,0,01-05-2013,PhD,0,74165.0,0,Divorced,16,12,12,268,240,12,1001,4,1,10,5,2,9,0,0,20,158,1970,1975
159,0,0,13-11-2013,Graduation,1,43482.0,2,Married,6,1,28,39,32,3,18,0,3,4,2,6,83,1,3,9,159,1960,1966
160,1,0,18-11-2013,Graduation,0,62551.0,0,Divorced,134,16,27,248,98,21,125,7,1,4,6,3,27,0,0,18,160,1950,1953
161,1,0,28-08-2013,Graduation,0,52332.0,0,Divorced,7,5,2,45,33,0,212,2,1,6,3,4,63,0,0,12,161,1950,1959
162,0,0,02-11-2013,Graduation,0,66951.0,0,Single,173,162,124,640,305,76,277,4,1,7,3,1,46,0,0,15,162,1980,1988
163,0,0,25-02-2014,Graduation,1,26091.0,1,Married,8,10,20,37,19,17,15,1,3,3,2,5,84,1,2,9,163,1950,1957
164,0,0,21-04-2014,Graduation,1,33456.0,1,Married,8,3,7,21,10,1,7,0,2,3,1,7,58,1,2,6,164,1960,1965
165,0,0,13-07-2013,Graduation,1,28718.0,1,Married,11,4,16,21,6,8,12,0,2,3,2,8,78,0,1,7,165,1980,1982
166,0,0,21-04-2014,Graduation,1,50447.0,2,Married,2,7,27,33,24,3,85,1,1,3,3,6,4,0,2,8,166,1970,1970
167,0,0,30-01-2014,PhD,1,53537.0,1,Married,0,0,6,6,6,0,81,1,2,3,2,5,17,1,2,8,167,1950,1959
168,1,0,04-04-2014,Graduation,1,52074.0,0,Single,0,0,48,12,12,0,59,2,1,2,2,4,77,1,1,7,168,1960,1967
169,0,0,12-09-2012,PhD,1,80427.0,0,Married,69,71,26,589,449,71,1149,8,1,8,11,5,56,1,1,28,169,1970,1975
170,3,0,16-12-2012,PhD,0,83837.0,0,Married,86,66,111,271,119,89,847,10,1,5,9,4,79,0,0,25,170,1940,1948
171,0,0,23-05-2014,PhD,1,38853.0,1,Married,0,0,2,14,14,0,29,0,2,3,2,7,90,1,2,7,171,1970,1970
172,0,0,24-06-2014,Graduation,1,38285.0,2,Married,2,0,1,7,5,0,2,0,1,3,0,2,96,1,3,4,172,1950,1959
173,1,0,01-12-2013,2n Cycle,0,78497.0,0,Married,75,26,223,548,447,0,207,7,1,12,5,2,44,0,0,25,173,1950,1951
174,0,0,11-05-2014,PhD,1,51650.0,0,Married,2,3,7,27,22,5,152,1,1,4,4,5,81,1,1,10,174,1970,1976
175,0,0,10-05-2014,2n Cycle,1,16248.0,1,Married,3,11,9,24,10,12,12,1,3,3,2,6,77,0,1,9,175,1980,1988
176,0,0,28-09-2013,Master,0,66835.0,0,Married,34,26,141,255,195,17,620,4,1,13,6,2,21,0,0,24,176,1940,1946
177,0,0,22-01-2014,Master,1,30477.0,1,Married,0,1,12,7,6,0,47,1,1,3,1,6,16,0,1,6,177,1980,1984
178,0,0,15-06-2014,Basic,0,28249.0,0,Married,2,9,10,18,7,14,1,0,1,3,2,6,80,0,0,6,178,1960,1961
179,0,0,05-12-2012,Graduation,1,25271.0,1,Married,10,1,7,29,18,4,10,1,1,2,1,9,45,0,1,5,179,1980,1983
180,0,0,08-03-2014,PhD,1,32303.0,0,Single,0,0,2,2,2,0,35,0,2,4,1,5,63,1,1,7,180,1970,1970
181,0,0,02-08-2013,Graduation,1,61286.0,0,Married,19,0,117,126,107,9,356,1,2,8,7,5,34,1,1,18,181,1960,1966
182,0,0,19-03-2013,Graduation,0,74068.0,0,Married,140,30,15,707,537,76,783,10,1,9,4,2,14,0,0,24,182,1970,1976
183,0,0,23-02-2013,PhD,1,45759.0,1,Married,3,1,4,22,18,0,42,0,2,3,2,7,13,1,2,7,183,1960,1964
184,1,0,09-09-2012,Basic,1,24882.0,1,Married,29,4,36,43,10,0,1,1,1,2,1,6,52,0,1,5,184,1970,1978
185,0,0,17-05-2013,PhD,0,66973.0,0,Married,147,22,102,601,432,113,466,7,1,12,8,3,98,0,0,28,185,1980,1989
186,0,0,30-05-2013,Graduation,1,38872.0,1,Married,3,3,22,27,21,19,23,0,2,3,3,8,93,0,1,8,186,1980,1988
187,0,0,18-02-2013,Graduation,1,51148.0,1,Married,8,6,12,59,45,9,235,1,4,6,5,6,38,1,2,16,187,1970,1973
188,0,0,29-12-2013,Graduation,1,31353.0,1,Married,3,0,7,13,10,1,10,1,2,2,1,8,24,1,2,6,188,1970,1977
189,0,0,13-05-2014,Master,0,69661.0,0,Married,32,16,8,154,106,16,656,3,1,12,7,3,80,0,0,23,189,1980,1980
190,1,0,19-09-2013,Graduation,0,80067.0,0,Married,27,17,51,857,813,173,519,6,1,6,4,2,82,0,0,17,190,1950,1954
191,0,0,17-01-2013,Graduation,0,86718.0,0,Married,50,189,172,721,482,33,344,6,1,5,5,2,20,0,0,17,191,1950,1954
192,2,0,31-03-2014,PhD,1,46854.0,1,Single,7,1,79,87,79,1,96,1,6,3,5,8,81,1,2,15,192,1970,1973
193,1,0,29-06-2014,Graduation,1,69142.0,0,Divorced,6,4,39,44,34,4,448,1,3,7,8,5,50,1,1,19,193,1950,1952
